categoria,produto,saldo,indexador,prazo_medio,spread,taxa_total,tipo_taxa,fpr,hqla,rsf_fator,tipo,rwa
Caixa e Equivalentes,Disponibilidades,8500,PRE,0.0,0.0,0.0,pre,0.0,nivel1,0.0,Ativo,0.0
Caixa e Equivalentes,Compulsório BCB,32000,CDI,0.0,0.0,11.75,pos,0.0,nivel1,0.0,Ativo,0.0
Títulos e Valores Mobiliários,Títulos LFT,45000,CDI,2.5,0.02,11.77,pos,0.0,nivel1,0.05,Ativo,0.0
Títulos e Valores Mobiliários,Títulos LTN,18000,PRE,1.8,0.0,13.2,pre,0.0,nivel1,0.05,Ativo,0.0
Títulos e Valores Mobiliários,Títulos NTN-B,28000,IPCA,6.2,0.0,6.45,pos,0.0,nivel1,0.05,Ativo,0.0
Títulos e Valores Mobiliários,Títulos NTN-F,9500,PRE,4.1,0.0,13.85,pre,0.0,nivel1,0.05,Ativo,0.0
Títulos e Valores Mobiliários,CDB outros bancos,6200,CDI,0.8,0.15,11.9,pos,0.2,nivel2A,0.15,Ativo,1240.0
Títulos e Valores Mobiliários,Debêntures AAA,4800,CDI,3.5,0.8,12.55,pos,0.2,nivel2A,0.2,Ativo,960.0
Títulos e Valores Mobiliários,Debêntures A,3100,CDI,4.0,1.4,13.15,pos,0.5,nivel2B,0.5,Ativo,1550.0
Crédito PF,Crédito imobiliário PF,85000,TR,18.0,8.2,10.5,pos,0.35,nao_hqla,0.65,Ativo,29749.999999999996
Crédito PF,Crédito consignado PF,62000,PRE,3.8,0.0,22.5,pre,0.75,nao_hqla,0.65,Ativo,46500.0
Crédito PF,Crédito pessoal PF,24000,PRE,2.2,0.0,38.4,pre,0.75,nao_hqla,0.65,Ativo,18000.0
Crédito PF,Crédito veículos PF,31000,PRE,4.5,0.0,26.8,pre,0.75,nao_hqla,0.65,Ativo,23250.0
Crédito PF,Cartão crédito PF,19500,PRE,0.5,0.0,189.0,pre,1.0,nao_hqla,0.85,Ativo,19500.0
Crédito PJ,Capital de giro PJ PME,38000,CDI,1.5,4.5,16.25,pos,0.85,nao_hqla,0.85,Ativo,32300.0
Crédito PJ,Crédito corporativo PJ,52000,CDI,3.2,2.8,14.55,pos,1.0,nao_hqla,0.85,Ativo,52000.0
Crédito PJ,Trade finance,14500,USD,0.7,2.2,7.4,pos,0.2,nao_hqla,0.5,Ativo,2900.0
Crédito PJ,Crédito rural,16800,PRE,2.8,0.0,10.5,pre,0.75,nao_hqla,0.65,Ativo,12600.0
Interbancário,Operações interbancárias,11200,CDI,0.1,0.05,11.8,pos,0.2,nivel1,0.1,Ativo,2240.0
Outros Ativos,Outros ativos,22900,PRE,1.0,0.0,0.0,pre,1.0,nao_hqla,1.0,Ativo,22900.0
