categoria,produto,saldo,indexador,prazo_medio,custo,tipo_taxa,estabilidade,asf_fator,outflow_lcr,tipo,rwa
Depósitos,Depósitos à vista PF,28000,PRE,0.0,0.0,pre,estavel,0.95,0.05,Passivo,0.0
Depósitos,Depósitos à vista PJ,18500,PRE,0.0,0.0,pre,instavel,0.5,0.4,Passivo,0.0
Depósitos,Poupança,42000,TR,0.0,6.17,pos,estavel,0.9,0.1,Passivo,0.0
CDB,CDB CDI até 1 ano,55000,CDI,0.6,98.5,pos_pct_cdi,instavel,0.5,0.2,Passivo,0.0
CDB,CDB CDI 1-3 anos,38000,CDI,1.8,102.0,pos_pct_cdi,semi_estavel,0.9,0.1,Passivo,0.0
CDB,CDB IPCA,12500,IPCA,3.2,7.2,pos,semi_estavel,0.9,0.05,Passivo,0.0
CDB,CDB Pré-fixado,9800,PRE,1.1,13.5,pre,semi_estavel,0.5,0.15,Passivo,0.0
LCI/LCA,LCI CDI,24000,CDI,1.4,92.0,pos_pct_cdi,semi_estavel,0.9,0.05,Passivo,0.0
LCI/LCA,LCA IPCA,16200,IPCA,2.1,6.5,pos,semi_estavel,0.9,0.05,Passivo,0.0
Letras Financeiras,LF CDI Longa,32000,CDI,4.5,105.0,pos_pct_cdi,estavel,1.0,0.0,Passivo,0.0
Letras Financeiras,LF IPCA Longa,18000,IPCA,6.0,6.8,pos,estavel,1.0,0.0,Passivo,0.0
Funding Externo,Eurobonds USD,14000,USD,5.2,6.8,pos,estavel,1.0,0.0,Passivo,0.0
Funding Externo,Empréstimos externos curto prazo,6800,USD,0.5,5.9,pos,instavel,0.0,1.0,Passivo,0.0
Interbancário Passivo,Depósitos interbancários,8500,CDI,0.2,100.0,pos_pct_cdi,instavel,0.0,1.0,Passivo,0.0
Outras Obrigações,Outras obrigações,16200,PRE,0.5,0.0,pre,instavel,0.0,0.2,Passivo,0.0
