tenor_anos,tenor_label,ipca_base,ipca_stress_alta,ipca_stress_baixa,real_base,real_stress_alta,real_stress_baixa
0.08333333333333333,1M,4.8,6.5,3.2,6.3798286319929565,8.51592476560401,4.162378327182625
0.16666666666666666,2M,4.7,6.4,3.2,6.468767318811008,8.589972340416608,4.158727291167841
0.25,3M,4.6,6.3,3.1,6.558505573149209,8.664903028526405,4.256716188351883
0.5,6M,4.5,6.2,3.0,6.62789175380889,8.689760374577782,4.352311717192436
1.0,1A,4.4,6.0,3.0,6.679445623170044,8.757386465376428,4.355097565458177
1.5,1.5A,4.4,5.9,2.9,6.645616814115263,8.743419676860276,4.474977443667805
2.0,2A,4.3,5.8,2.9,6.7278723071630075,8.747400125829419,4.505965278431789
3.0,3A,4.2,5.6,2.8,6.8224424792324045,8.799532300039402,4.697084655549499
4.0,4A,4.1,5.4,2.8,6.9477720426629475,8.897604403075544,4.81007821924857
5.0,5A,4.0,5.2,2.7,7.092883988499565,9.029588964928159,5.0374076627742514
6.0,6A,3.9,5.0,2.7,7.2500180355770105,9.186558740272321,5.1671066128444965
7.0,7A,3.9,4.9,2.7,7.310370785602616,9.257646474208014,5.296084475235663
8.0,8A,3.8,4.8,2.6,7.476716806807637,9.341657314199159,5.523792017711626
10.0,10A,3.7,4.7,2.6,7.704886144450329,9.430258005181823,5.754768890953588
15.0,15A,3.6,4.5,2.6,8.069446613001219,9.659955055525238,6.202059862545828
20.0,20A,3.6,4.4,2.5,8.248493987179085,9.800301292019121,6.599042584841697
30.0,30A,3.5,4.3,2.5,8.557704596237304,9.955605398048938,6.927550071335031
